E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2
-24.4,0,-24.4,0
-21.1,0,-21.1,0
-17.9,0,-17.9,0
-14.6,2,-14.6,3
-11.4,22,-11.4,84
-8.1,21,-8.1,189
-4.9,29,-4.9,228
-1.7,29,-1.7,242
1.6,38,1.6,245
4.8,25,4.8,252
8.1,38,8.1,290
11.3,42,11.3,303
14.6,41,14.6,299
17.8,46,17.8,332
21.1,33,21.1,413
24.3,37,24.3,321
27.6,51,27.6,348
30.8,53,30.8,384
34,65,34,395
37.3,64,37.3,408
40.5,58,40.5,372
43.8,59,43.8,422
47,58,47,402
50.3,57,50.3,426
53.5,71,53.5,414
56.8,67,56.8,473
60,67,60,461
63.2,63,63.2,568
66.5,94,66.5,681
69.7,113,69.7,904
73,132,73,1126
76.2,130,76.2,1135
79.5,111,79.5,1024
82.7,114,82.7,925
86,100,86,758
89.2,104,89.2,819
92.4,77,92.4,629
95.7,93,95.7,555
98.9,69,98.9,519
102.2,74,102.2,522
105.4,65,105.4,500
108.7,64,108.7,516
111.9,73,111.9,573
115.2,57,115.2,458
118.4,71,118.4,526
121.7,70,121.7,548
124.9,64,124.9,530
128.1,61,128.1,528
131.4,90,131.4,465
134.6,57,134.6,522
137.9,63,137.9,478
141.1,68,141.1,483
144.4,59,144.4,484
147.6,67,147.6,463
150.9,78,150.9,472
154.1,60,154.1,478
157.3,52,157.3,477
160.6,75,160.6,439
163.8,58,163.8,424
167.1,59,167.1,424
170.3,71,170.3,416
173.6,64,173.6,412
176.8,70,176.8,404
180.1,62,180.1,422
183.3,53,183.3,393
186.6,52,186.6,418
189.8,59,189.8,397
193,61,193,404
196.3,66,196.3,436
199.5,67,199.5,410
202.8,56,202.8,334
206,56,206,382
209.3,51,209.3,382
212.5,79,212.5,376
215.8,75,215.8,340
219,83,219,362
222.2,78,222.2,316
225.5,117,225.5,390
228.7,89,228.7,349
232,99,232,415
235.2,74,235.2,395
238.5,85,238.5,356
241.7,89,241.7,372
245,83,245,347
248.2,98,248.2,320
251.4,79,251.4,324
254.7,70,254.7,330
257.9,74,257.9,331
261.2,61,261.2,315
264.4,80,264.4,318
267.7,68,267.7,279
270.9,64,270.9,294
274.2,62,274.2,329
277.4,75,277.4,297
280.7,67,280.7,306
283.9,75,283.9,303
287.1,49,287.1,280
290.4,55,290.4,305
293.6,74,293.6,305
296.9,65,296.9,250
300.1,54,300.1,265
303.4,47,303.4,275
306.6,54,306.6,260
309.9,59,309.9,262
313.1,48,313.1,285
316.3,50,316.3,281
319.6,56,319.6,280
322.8,62,322.8,276
326.1,44,326.1,276
329.3,46,329.3,262
332.6,46,332.6,256
335.8,49,335.8,260
339.1,47,339.1,225
342.3,33,342.3,263
345.6,50,345.6,277
348.8,36,348.8,232
352,48,352,256
355.3,41,355.3,249
358.5,37,358.5,226
361.8,52,361.8,242
365,40,365,238
368.3,43,368.3,239
371.5,50,371.5,251
374.8,49,374.8,243
378,39,378,225
381.2,49,381.2,215
384.5,30,384.5,206
387.7,35,387.7,252
391,33,391,222
394.2,31,394.2,203
397.5,36,397.5,230
400.7,41,400.7,234
404,34,404,224
407.2,51,407.2,217
410.4,39,410.4,233
413.7,45,413.7,246
416.9,41,416.9,220
420.2,47,420.2,221
423.4,34,423.4,225
426.7,42,426.7,236
429.9,35,429.9,203
433.2,35,433.2,220
436.4,37,436.4,231
439.7,44,439.7,222
442.9,26,442.9,213
446.1,37,446.1,192
449.4,28,449.4,203
452.6,33,452.6,204
455.9,42,455.9,210
459.1,40,459.1,187
462.4,32,462.4,223
465.6,35,465.6,199
468.9,45,468.9,203
472.1,40,472.1,206
475.3,35,475.3,234
478.6,39,478.6,207
481.8,36,481.8,209
485.1,36,485.1,206
488.3,36,488.3,236
491.6,39,491.6,206
494.8,37,494.8,209
498.1,38,498.1,250
501.3,33,501.3,239
504.6,39,504.6,222
507.8,38,507.8,228
511,37,511,244
514.3,35,514.3,225
517.5,39,517.5,275
520.8,37,520.8,197
524,30,524,262
527.3,34,527.3,257
530.5,41,530.5,263
533.8,26,533.8,215
537,33,537,223
540.2,48,540.2,213
543.5,45,543.5,226
546.7,61,546.7,197
550,34,550,196
553.2,45,553.2,196
556.5,43,556.5,155
559.7,40,559.7,174
563,38,563,163
566.2,43,566.2,199
569.4,31,569.4,174
572.7,44,572.7,154
575.9,21,575.9,177
579.2,38,579.2,141
582.4,38,582.4,166
585.7,37,585.7,175
588.9,36,588.9,173
592.2,26,592.2,177
595.4,31,595.4,175
598.7,34,598.7,199
601.9,37,601.9,182
605.1,36,605.1,189
608.4,35,608.4,174
611.6,32,611.6,150
614.9,36,614.9,173
618.1,32,618.1,176
621.4,44,621.4,179
624.6,28,624.6,172
627.9,32,627.9,180
631.1,41,631.1,166
634.3,35,634.3,160
637.6,36,637.6,191
640.8,41,640.8,165
644.1,39,644.1,170
647.3,45,647.3,178
650.6,37,650.6,172
653.8,30,653.8,188
657.1,39,657.1,157
660.3,50,660.3,161
663.6,43,663.6,151
666.8,47,666.8,174
670,36,670,144
673.3,29,673.3,158
676.5,32,676.5,148
679.8,29,679.8,178
683,32,683,178
686.3,42,686.3,152
689.5,29,689.5,158
692.8,37,692.8,159
696,36,696,149
699.2,38,699.2,145
702.5,34,702.5,134
705.7,40,705.7,131
709,50,709,125
712.2,41,712.2,120
715.5,37,715.5,144
718.7,31,718.7,127
722,40,722,127
725.2,42,725.2,116
728.4,31,728.4,133
731.7,34,731.7,149
734.9,43,734.9,142
738.2,43,738.2,150
741.4,37,741.4,121
744.7,42,744.7,111
747.9,31,747.9,117
751.2,28,751.2,135
754.4,48,754.4,119
757.7,30,757.7,138
760.9,38,760.9,120
764.1,49,764.1,109
767.4,38,767.4,109
770.6,32,770.6,121
773.9,42,773.9,124
777.1,39,777.1,121
780.4,44,780.4,114
783.6,46,783.6,113
786.9,40,786.9,116
790.1,49,790.1,108
793.3,43,793.3,114
796.6,41,796.6,122
799.8,38,799.8,111
803.1,35,803.1,122
806.3,41,806.3,115
809.6,43,809.6,110
812.8,35,812.8,120
816.1,41,816.1,110
819.3,44,819.3,106
822.6,41,822.6,111
825.8,33,825.8,92
829,43,829,114
832.3,43,832.3,96
835.5,42,835.5,108
838.8,48,838.8,101
842,40,842,110
845.3,50,845.3,99
848.5,33,848.5,117
851.8,52,851.8,111
855,48,855,102
858.2,31,858.2,114
861.5,50,861.5,84
864.7,47,864.7,117
868,40,868,107
871.2,45,871.2,85
874.5,48,874.5,86
877.7,54,877.7,116
881,45,881,96
884.2,40,884.2,90
887.4,40,887.4,104
890.7,42,890.7,100
893.9,51,893.9,73
897.2,34,897.2,91
900.4,47,900.4,110
903.7,42,903.7,95
906.9,47,906.9,93
910.2,41,910.2,116
913.4,53,913.4,115
916.7,41,916.7,103
919.9,44,919.9,91
923.1,55,923.1,114
926.4,47,926.4,85
929.6,47,929.6,90
932.9,44,932.9,84
936.1,44,936.1,90
939.4,42,939.4,82
942.6,43,942.6,100
945.9,43,945.9,105
949.1,37,949.1,80
952.3,30,952.3,96
955.6,49,955.6,97
958.8,31,958.8,102
962.1,43,962.1,92
965.3,41,965.3,97
968.6,31,968.6,88
971.8,41,971.8,89
975.1,32,975.1,69
978.3,30,978.3,88
981.6,40,981.6,68
984.8,32,984.8,98
988,28,988,85
991.3,30,991.3,101
994.5,21,994.5,88
997.8,36,997.8,80
1001,37,1001,93
1004.3,32,1004.3,74
1007.5,40,1007.5,90
1010.8,27,1010.8,68
1014,27,1014,64
1017.2,29,1017.2,79
1020.5,28,1020.5,74
1023.7,24,1023.7,80
1027,31,1027,69
1030.2,31,1030.2,79
1033.5,25,1033.5,81
1036.7,27,1036.7,76
1040,22,1040,90
1043.2,34,1043.2,82
1046.4,29,1046.4,61
1049.7,27,1049.7,72
1052.9,27,1052.9,75
1056.2,18,1056.2,97
1059.4,28,1059.4,63
1062.7,24,1062.7,58
1065.9,21,1065.9,77
1069.2,23,1069.2,67
1072.4,20,1072.4,78
1075.7,27,1075.7,71
1078.9,28,1078.9,72
1082.1,24,1082.1,59
1085.4,20,1085.4,59
1088.6,25,1088.6,80
1091.9,26,1091.9,74
1095.1,25,1095.1,77
1098.4,21,1098.4,70
1101.6,25,1101.6,75
1104.9,20,1104.9,75
1108.1,23,1108.1,76
1111.3,22,1111.3,68
1114.6,20,1114.6,80
1117.8,25,1117.8,93
1121.1,21,1121.1,70
1124.3,24,1124.3,63
1127.6,20,1127.6,81
1130.8,23,1130.8,85
1134.1,36,1134.1,83
1137.3,38,1137.3,73
1140.6,44,1140.6,78
1143.8,52,1143.8,73
1147,48,1147,82
1150.3,78,1150.3,62
1153.5,68,1153.5,79
1156.8,85,1156.8,70
1160,70,1160,71
1163.3,77,1163.3,69
1166.5,94,1166.5,73
1169.8,92,1169.8,70
1173,92,1173,68
1176.2,91,1176.2,68
1179.5,85,1179.5,69
1182.7,98,1182.7,83
1186,83,1186,58
1189.2,86,1189.2,63
1192.5,86,1192.5,50
1195.7,73,1195.7,65
1199,63,1199,57
1202.2,62,1202.2,69
1205.4,52,1205.4,55
1208.7,42,1208.7,65
1211.9,42,1211.9,56
1215.2,26,1215.2,63
1218.4,24,1218.4,56
1221.7,22,1221.7,50
1224.9,20,1224.9,51
1228.2,14,1228.2,48
1231.4,10,1231.4,40
1234.7,10,1234.7,47
1237.9,6,1237.9,56
1241.1,8,1241.1,50
1244.4,5,1244.4,44
1247.6,6,1247.6,49
1250.9,3,1250.9,51
1254.1,3,1254.1,40
1257.4,6,1257.4,47
1260.6,9,1260.6,44
1263.9,8,1263.9,38
1267.1,12,1267.1,41
1270.3,11,1270.3,47
1273.6,9,1273.6,41
1276.8,12,1276.8,44
1280.1,20,1280.1,41
1283.3,24,1283.3,45
1286.6,26,1286.6,37
1289.8,28,1289.8,32
1293.1,30,1293.1,40
1296.3,30,1296.3,38
1299.6,40,1299.6,24
1302.8,57,1302.8,31
1306,44,1306,31
1309.3,57,1309.3,26
1312.5,67,1312.5,38
1315.8,61,1315.8,49
1319,71,1319,36
1322.3,69,1322.3,38
1325.5,75,1325.5,25
1328.8,66,1328.8,29
1332,82,1332,34
1335.2,71,1335.2,39
1338.5,69,1338.5,25
1341.7,58,1341.7,25
1345,62,1345,27
1348.2,50,1348.2,28
1351.5,41,1351.5,36
1354.7,56,1354.7,39
1358,34,1358,39
1361.2,35,1361.2,34
1364.4,30,1364.4,29
1367.7,35,1367.7,32
1370.9,20,1370.9,25
1374.2,12,1374.2,29
1377.4,15,1377.4,37
1380.7,15,1380.7,34
1383.9,12,1383.9,36
1387.2,9,1387.2,30
1390.4,5,1390.4,37
1393.7,3,1393.7,31
1396.9,5,1396.9,36
1400.1,1,1400.1,33
1403.4,6,1403.4,54
1406.6,1,1406.6,58
1409.9,4,1409.9,51
1413.1,0,1413.1,58
1416.4,1,1416.4,53
1419.6,3,1419.6,64
1422.9,0,1422.9,83
1426.1,2,1426.1,81
1429.3,1,1429.3,87
1432.6,1,1432.6,78
1435.8,1,1435.8,96
1439.1,4,1439.1,82
1442.3,3,1442.3,93
1445.6,1,1445.6,87
1448.8,1,1448.8,107
1452.1,3,1452.1,107
1455.3,1,1455.3,88
1458.6,1,1458.6,100
1461.8,1,1461.8,97
1465,4,1465,87
1468.3,0,1468.3,86
1471.5,2,1471.5,63
1474.8,5,1474.8,76
1478,0,1478,80
1481.3,0,1481.3,67
1484.5,2,1484.5,60
1487.8,0,1487.8,55
1491,1,1491,50
1494.2,0,1494.2,54
1497.5,0,1497.5,47
1500.7,2,1500.7,33
1504,0,1504,36
1507.2,0,1507.2,34
1510.5,3,1510.5,45
1513.7,2,1513.7,30
1517,0,1517,29
1520.2,0,1520.2,27
1523.4,1,1523.4,16
1526.7,1,1526.7,23
1529.9,2,1529.9,26
1533.2,0,1533.2,17
1536.4,1,1536.4,22
1539.7,0,1539.7,19
1542.9,1,1542.9,22
1546.2,0,1546.2,18
1549.4,0,1549.4,21
1552.7,0,1552.7,24
1555.9,0,1555.9,22
1559.1,0,1559.1,26
1562.4,0,1562.4,17
1565.6,0,1565.6,26
1568.9,0,1568.9,17
1572.1,0,1572.1,20
1575.4,0,1575.4,19
1578.6,0,1578.6,10
1581.9,0,1581.9,22
1585.1,0,1585.1,14
1588.3,0,1588.3,17
1591.6,1,1591.6,15
1594.8,0,1594.8,22
1598.1,0,1598.1,11
1601.3,1,1601.3,13
1604.6,1,1604.6,9
1607.8,0,1607.8,20
1611.1,0,1611.1,19
1614.3,1,1614.3,13
1617.6,0,1617.6,13
1620.8,0,1620.8,13
1624,0,1624,23
1627.3,0,1627.3,13
1630.5,0,1630.5,23
1633.8,127,1633.8,7609
